Variant,Task,F1,AUC,R2,RMSE
QART best (attn_LogReg_C0.1),1A,0.7545454545454545,0.7521106703285525,,
T1A-quantum_head,1A,0.6923076923076923,0.7529244227443801,,
T1A-attn_LogReg_C1.0,1A,0.6326530612244898,0.7522123893805309,,
T1A-attn_LogReg_C10.0,1A,0.5824175824175825,0.7546536466280134,,
T1A-attn_SVM_RBF,1A,0.6956521739130435,0.7582646729732478,,
abl-linear_head_raw,1A,0.7475728155339806,0.7924931339639915,,
abl-single_reservoir,1A,0.31654676258992803,0.7853728003255009,,
abl-no_attention_qhead,1A,0.8,0.7956464245753229,,
abl-attn_features_logreg,1A,0.6326530612244898,0.7522123893805309,,
T2-quantum_head,2,,,0.15535306930541992,1.8961022853462735
T2-attn_Ridge,2,,,0.2793200612068176,1.75144047716184
T2-attn_GBM_50,2,,,0.05070561649128236,2.010132092635529
T2-attn_GBM_100,2,,,0.00293945724536826,2.0600838934690793
T2-plain_Ridge,2,,,-0.007549881935119629,2.0708919074245107
T2-plain_GBM_100,2,,,0.1541498978752558,1.897452202528757
