umap_1,umap_2,ZIP_Code,cluster,risk_tier
0.6750657,1.0300239,90001,32,Urban Low-Risk
0.67434204,0.8324698,90002,32,Urban Low-Risk
1.0480793,1.2697723,90003,-1,Outlier/Anomalous
6.802043,0.8427499,90004,22,Risk Tier 29
7.368321,1.3804519,90005,-1,Outlier/Anomalous
3.6139886,-0.18825424,90006,34,Risk Tier 11
3.5534105,-0.21628483,90007,34,Risk Tier 11
4.0328937,-0.008053131,90008,34,Risk Tier 11
1.6795323,0.5865555,90011,33,Risk Tier 6
4.0987287,1.0215176,90012,30,Risk Tier 28
4.8663454,4.485333,90013,-1,Outlier/Anomalous
5.585311,4.395862,90014,3,Risk Tier 18
3.550436,-0.22431926,90015,34,Risk Tier 11
2.313241,0.84012324,90016,33,Risk Tier 6
5.740897,-2.7446897,90017,10,Risk Tier 21
2.8152595,0.2547086,90018,-1,Outlier/Anomalous
3.9648888,-0.16129747,90019,34,Risk Tier 11
7.7553544,1.2889621,90020,23,Risk Tier 32
1.1851339,1.760458,90021,32,Urban Low-Risk
0.9592304,0.07982618,90022,21,Wildland-Urban Interface High-Risk
1.3297902,-0.10266838,90023,21,Wildland-Urban Interface High-Risk
7.5774784,1.421105,90024,23,Risk Tier 32
4.6749096,-0.37974954,90025,28,Risk Tier 17
3.413435,0.08153152,90026,34,Risk Tier 11
6.868773,0.7848858,90027,22,Risk Tier 29
3.5280402,-0.10782159,90028,34,Risk Tier 11
3.4519203,0.006723873,90029,34,Risk Tier 11
3.774851,0.983819,90031,30,Risk Tier 28
3.5117164,1.0346909,90032,-1,Outlier/Anomalous
1.6474166,-0.0051491885,90033,-1,Outlier/Anomalous
3.758752,-0.282135,90034,34,Risk Tier 11
4.9830527,-0.35114577,90035,28,Risk Tier 17
6.744691,0.8318343,90036,22,Risk Tier 29
1.9301474,0.8489495,90037,33,Risk Tier 6
3.9520943,0.053657785,90038,34,Risk Tier 11
3.3479533,0.10165287,90039,34,Risk Tier 11
1.0746458,-0.021602066,90040,21,Wildland-Urban Interface High-Risk
3.7632432,0.9410275,90041,30,Risk Tier 28
3.6658602,1.0563699,90042,30,Risk Tier 28
2.4365993,0.8077772,90043,33,Risk Tier 6
1.5760984,0.737406,90044,33,Risk Tier 6
